shots	numstab	fidelity_error
8996	4949	0.011961114616268382
8996	7775	0.011217387749482796
8996	12215	0.011749942675808471
13732	9	0.0880727404335132
13732	14	0.0874151947740729
13732	22	0.06604017565761507
13732	35	0.048549110823202526
13732	54	0.0406096416981121
13732	85	0.03377898176119253
13732	133	0.030125707090158348
13732	210	0.028847155580615003
13732	329	0.023454847565696366
13732	517	0.02189004301254627
13732	813	0.019156268199527086
13732	1277	0.016956948626829105
13732	2005	0.01567704151297041
13732	3150	0.01516455505550213
13732	4949	0.014292230904172365
13732	7775	0.012793343091257438
13732	12215	0.012860616246572719
20962	9	0.07914812993468115
20962	14	0.06285532458919768
20962	22	0.0643895756764627
20962	35	0.05351503657013984
20962	54	0.03269785510701004
20962	85	0.033917629926608704
20962	133	0.03218234081462263
20962	210	0.022685422167232502
20962	329	0.021282146387618592
20962	517	0.01769148573269133
20962	813	0.01526030310775832
20962	1277	0.016891755774350408
20962	2005	0.013644653171427799
20962	3150	0.012241420260906419
20962	4949	0.014534586369575308
20962	7775	0.01240240201643
20962	12215	0.012171806144142901
31996	9	0.09988696036463872
31996	14	0.07892632070720083
31996	22	0.06773173576167331
31996	35	0.05454179432970589
31996	54	0.04253003555337929
31996	85	0.03194365694090378
31996	133	0.02497496500566545
31996	210	0.026671030775298754
31996	329	0.022679594070646902
31996	517	0.023179257542999283
31996	813	0.016556366382067176
31996	1277	0.014708613623754575
31996	2005	0.014633693057727739
31996	3150	0.012636174774534102
31996	4949	0.01362060784768826
31996	7775	0.014125943758070643
31996	12215	0.0120520819537386
48840	9	0.08755701250611081
48840	14	0.056373297343013606
48840	22	0.04781807519738746
48840	35	0.05740619879654112
48840	54	0.033749459343966885
48840	85	0.034627272106839385
48840	133	0.02831590134067186
48840	210	0.020372500835788263
48840	329	0.021515867238061755
48840	517	0.016792682709232395
48840	813	0.0162242202173167
48840	1277	0.016439905837340542
48840	2005	0.01556898275059151
48840	3150	0.012881709958804858
48840	4949	0.011519570539710316
48840	7775	0.012286197240827511
48840	12215	0.011136431625583199
74550	9	0.08699743771143156
74550	14	0.06739537918345823
74550	22	0.051610871632429445
74550	35	0.04429368302537598
74550	54	0.04251229960149157
74550	85	0.03968372184408601
74550	133	0.028304148272950743
74550	210	0.018492714445346014
74550	329	0.017862582325032687
74550	517	0.018911162379364556
74550	813	0.014313266586554827
74550	1277	0.014097648237467631
74550	2005	0.011362678080418565
74550	3150	0.01228098220532305
74550	4949	0.010978740043237034
74550	7775	0.009574973748169213
74550	12215	0.010122065224272354
113796	9	0.09055616359876466
113796	14	0.08527677286604125
113796	22	0.046525221719905016
113796	35	0.0379150496130432
113796	54	0.0316533746403766
113796	85	0.03878940549183904
113796	133	0.024171127197204906
113796	210	0.02174337736876528
113796	329	0.018107154642924263
113796	517	0.014236614220031628
113796	813	0.014174651055433224
113796	1277	0.013218369398284394
113796	2005	0.01236706879321757
113796	3150	0.010865260632858574
113796	4949	0.009753067631305212
113796	7775	0.009842318961283725
113796	12215	0.010540018375442531
173702	9	0.10933271782824691
173702	14	0.09373256763160906
173702	22	0.05739305190903586
173702	35	0.03654429842956424
173702	54	0.03632034356948696
173702	85	0.03206163446384565
173702	133	0.023249278542144067
173702	210	0.023972860300169777
173702	329	0.01973950432948163
173702	517	0.01280077258696562
173702	813	0.012193083261272181
173702	1277	0.010450304706818885
173702	2005	0.010691662759847141
173702	3150	0.00908269319286867
173702	4949	0.008940153433889991
173702	7775	0.008499549510017532
173702	12215	0.00843516999419452
